"","X","id","id_str","user.screen_name","created_at","place.country","place.full_name","favorite_count","text","origin","date","date2"
"92425",92425,7,772441501842505728,"330Kingish","Sun Sep 04 14:29:39 +0000 2016","","",0,"RT @Miz_Lizz: In AFRICA!! https://t.co/VioY2GghYB",7,2016-09-04 14:29:39,2016-09-04
"53718",53718,3,634081300144500736,"_ThatGuyT","Wed Aug 19 19:15:37 +0000 2015","United States","Georgia, USA",0,"#BlackLivesMatter is starting to look a lot like feminism... More focused on protecting their star player than condemning unethical behavior",3,2015-08-19 19:15:37,2015-08-19
"46919",46919,3,643544717485957120,"KitDuluCa","Mon Sep 14 21:59:51 +0000 2015","","",0,"RT @AspieTruther: Hey @CBCNews, When are u going to air ur story on the cop in KY who was murdered by a BlackLivesMatter supporter? Doesn't…",3,2015-09-14 21:59:51,2015-09-14
"28862",28862,2,548318534279766016,"MavMan68","Fri Dec 26 03:25:00 +0000 2014","","",0,"RT @KEKneejerk: SHOCK! Two NYPD officers executed, killings praised on social media http://t.co/D0UQYRyaHd #OneOnOne #WitchHunters http://t…",2,2014-12-26 03:25:00,2014-12-26
"77006",77006,6,751643474416529408,"luvBTSsokawaii","Sat Jul 09 05:05:43 +0000 2016","","",0,"RT @HOUmanized: Dedicated to all the lives that have been &amp; will be stolen by police ""Last Moments"" x Autumn Rain #BlackLivesMatter https:/…",6,2016-07-09 05:05:43,2016-07-09
"77274",77274,6,752559339441942528,"LeahLuuvv","Mon Jul 11 17:45:03 +0000 2016","","",0,"Exactly https://t.co/Ns5DyOlCTq",6,2016-07-11 17:45:03,2016-07-11
"3932",3932,1,546405398907871232,"sparhopper","Sat Dec 20 20:42:53 +0000 2014","","",0,"RT @AboundingJoy: Cops tell workers they can't stand in solidarity. Closes door on them. #BlackLivesMatter #BlackXmas #moa http://t.co/cVy3…",1,2014-12-20 20:42:53,2014-12-20
"43488",43488,3,633726818269335552,"ecoblue6","Tue Aug 18 19:47:02 +0000 2015","","",0,"""Long before there was a #BlackLivesMatter movement there was the ""Stop the Killing Tour""  by @LouisFarrakhan  "" @wesleymuhammad "" #Quote",3,2015-08-18 19:47:02,2015-08-18
"47213",47213,3,613175655644041216,"caydent85","Tue Jun 23 02:44:03 +0000 2015","","",0,"RT @TalbertSwan: WHERE was the outrage when #POTUS was being called a Nigger?! #CharelstonShooting @Potus #FoxNews #BlackLivesMatter http:/…",3,2015-06-23 02:44:03,2015-06-23
"27381",27381,2,548990254230040576,"puddypad","Sat Dec 27 23:54:11 +0000 2014","","",0,"RT @AustinHunt: This NYPD funeral photo being widely shared by the NYPD is not from today, but from 2007 http://t.co/GdQrrPYagG http://t.co…",2,2014-12-27 23:54:11,2014-12-27
"67427",67427,5,751260692137725952,"HoustonforTrump","Fri Jul 08 03:44:41 +0000 2016","","",0,"RT @dallasnewsphoto: DART police officer cries at Baylor Hospital in Dallas. DPD chief says 10 cops shot 3 dead @ #BlackLivesMatter rally h…",5,2016-07-08 03:44:41,2016-07-08
"203",203,1,546132825263857664,"wayne_o__OO_","Sat Dec 20 02:39:46 +0000 2014","","",0,"Amadii: RT newsone: . #EricGarner's Daughter Defends TheRevAl Against #Justice4All March Critics. http://t.co/AtK1wBPV3R",1,2014-12-20 02:39:46,2014-12-20
"2510",2510,1,676976584625102848,"ChrisBGKC","Wed Dec 16 04:06:10 +0000 2015","","",0,"RT @MacMiller: Dear White People who listen to rap music... What have you done for the #BlackLivesMatter movement",1,2015-12-16 04:06:10,2015-12-16
"43203",43203,3,638933007827660800,"msrouj826","Wed Sep 02 04:34:34 +0000 2015","","",0,"RT @Jacobmason21: #BlackLivesMatter isn't a race war. It's a movement to end racial stereotyping/profiling from the law enforcement. A figh…",3,2015-09-02 04:34:34,2015-09-02
"49933",49933,3,625425408100560896,"Shire_Abdullahi","Sun Jul 26 22:00:11 +0000 2015","","",0,"RT @WORLDSTARC0MEDY: Wtf is wrong with people? #MonroeBird #JusticeforMonroeBird #BlackLivesMatter http://t.co/H6sQlHBkdx",3,2015-07-26 22:00:11,2015-07-26
