Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Clinton,Trump,Undecided,Other,Pollster URL,Source URL,Partisan,Affiliation
Gravis Marketing/OANN,6/16/2016,6/16/2016,2016-06-17T18:51:41Z,2197,Registered Voters,Automated Phone,50,45,,5,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-oann-24702,http://big.assets.huffingtonpost.com/NationalJune.pdf,Sponsor,Rep
Ipsos/Reuters,6/11/2016,6/15/2016,2016-06-16T15:24:10Z,1323,Registered Voters,Internet,41,32,11,15,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24692,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical615.pdf,Nonpartisan,None
Ipsos/Reuters,6/11/2016,6/15/2016,2016-06-16T15:24:10Z,,Registered Voters - Democrat,Internet,75,8,5,11,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24692,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical615.pdf,Nonpartisan,None
Ipsos/Reuters,6/11/2016,6/15/2016,2016-06-16T15:24:10Z,,Registered Voters - Republican,Internet,6,68,12,14,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24692,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical615.pdf,Nonpartisan,None
Ipsos/Reuters,6/11/2016,6/15/2016,2016-06-16T15:24:10Z,,Registered Voters - independent,Internet,27,25,19,30,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24692,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical615.pdf,Nonpartisan,None
Rasmussen,6/14/2016,6/15/2016,2016-06-16T15:14:43Z,1000,Likely Voters,Automated Phone,44,39,4,14,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24690,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,Nonpartisan,None
CBS,6/9/2016,6/13/2016,2016-06-16T00:46:09Z,1048,Registered Voters,Live Phone,43,37,15,5,http://elections.huffingtonpost.com/pollster/polls/cbs-24687,https://www.scribd.com/doc/315840399/Toplines-CBS-News-poll-Clinton-Trump,Nonpartisan,None
CBS,6/9/2016,6/13/2016,2016-06-16T00:46:09Z,369,Registered Voters - Democrat,Live Phone,81,6,10,3,http://elections.huffingtonpost.com/pollster/polls/cbs-24687,https://www.scribd.com/doc/315840399/Toplines-CBS-News-poll-Clinton-Trump,Nonpartisan,None
CBS,6/9/2016,6/13/2016,2016-06-16T00:46:09Z,305,Registered Voters - Republican,Live Phone,6,73,16,4,http://elections.huffingtonpost.com/pollster/polls/cbs-24687,https://www.scribd.com/doc/315840399/Toplines-CBS-News-poll-Clinton-Trump,Nonpartisan,None
CBS,6/9/2016,6/13/2016,2016-06-16T00:46:09Z,374,Registered Voters - independent,Live Phone,35,37,21,8,http://elections.huffingtonpost.com/pollster/polls/cbs-24687,https://www.scribd.com/doc/315840399/Toplines-CBS-News-poll-Clinton-Trump,Nonpartisan,None
Bloomberg/Selzer,6/10/2016,6/13/2016,2016-06-14T21:15:54Z,750,Likely Voters,Live Phone,49,37,4,9,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-24677,http://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rc0NltTBR0ug/v0,Nonpartisan,None
NBC/SurveyMonkey,6/6/2016,6/12/2016,2016-06-14T14:40:03Z,9355,Registered Voters,Internet,49,42,9,,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24667,http://www.nbcnews.com/politics/2016-election/poll-clinton-expands-lead-after-becoming-presumptive-nominee-n591531,Nonpartisan,None
Morning Consult,6/8/2016,6/9/2016,2016-06-14T17:52:02Z,1362,Registered Voters,Internet,42,37,21,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24673,https://morningconsult.com/2016/06/14/poll-less-half-voters-view-clintons-nomination-historic/,Nonpartisan,None
Morning Consult,6/8/2016,6/9/2016,2016-06-14T17:52:02Z,477,Registered Voters - Democrat,Internet,78,8,14,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24673,https://morningconsult.com/2016/06/14/poll-less-half-voters-view-clintons-nomination-historic/,Nonpartisan,None
Morning Consult,6/8/2016,6/9/2016,2016-06-14T17:52:02Z,433,Registered Voters - Republican,Internet,13,74,13,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24673,https://morningconsult.com/2016/06/14/poll-less-half-voters-view-clintons-nomination-historic/,Nonpartisan,None
Morning Consult,6/8/2016,6/9/2016,2016-06-14T17:52:02Z,452,Registered Voters - independent,Internet,32,33,35,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24673,https://morningconsult.com/2016/06/14/poll-less-half-voters-view-clintons-nomination-historic/,Nonpartisan,None
FOX,6/5/2016,6/8/2016,2016-06-09T22:08:00Z,1004,Registered Voters,Live Phone,42,39,6,7,http://elections.huffingtonpost.com/pollster/polls/fox-24646,http://www.foxnews.com/politics/2016/06/09/fox-news-poll-trump-drops-now-trails-clinton.html,Nonpartisan,None
Ipsos/Reuters,6/4/2016,6/8/2016,2016-06-09T15:29:06Z,1440,Registered Voters,Internet,42,34,11,12,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24644,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical6082016.pdf,Nonpartisan,None
Ipsos/Reuters,6/4/2016,6/8/2016,2016-06-09T15:29:06Z,,Registered Voters - Democrat,Internet,74,8,10,8,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24644,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical6082016.pdf,Nonpartisan,None
Ipsos/Reuters,6/4/2016,6/8/2016,2016-06-09T15:29:06Z,,Registered Voters - Republican,Internet,8,71,8,13,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24644,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical6082016.pdf,Nonpartisan,None
Ipsos/Reuters,6/4/2016,6/8/2016,2016-06-09T15:29:06Z,,Registered Voters - independent,Internet,29,33,17,21,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24644,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical6082016.pdf,Nonpartisan,None
Rasmussen,6/6/2016,6/7/2016,2016-06-09T14:40:49Z,1000,Likely Voters,Automated Phone,42,38,5,15,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24642,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,Nonpartisan,None
IBD/TIPP,5/31/2016,6/5/2016,2016-06-06T20:02:49Z,828,Registered Voters,Live Phone,45,40,7,9,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24625,http://www.investors.com/wp-content/uploads/2016/06/ibdtipp-Tables_June2016_Posting-1.pdf,Nonpartisan,None
NBC/SurveyMonkey,5/30/2016,6/5/2016,2016-06-07T15:18:58Z,9240,Registered Voters,Internet,48,44,9,,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24631,http://www.nbcnews.com/politics/2016-election/poll-majority-democratic-republican-voters-think-primary-process-fair-n586771,Nonpartisan,None
YouGov/Economist,6/2/2016,6/5/2016,2016-06-07T16:29:14Z,1636,Registered Voters,Internet,44,41,9,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24633,https://today.yougov.com/news/2016/06/06/sanders-supporters-expect-win-california-not-phila/,Nonpartisan,None
Morning Consult,6/1/2016,6/5/2016,2016-06-07T14:20:46Z,4002,Registered Voters,Internet,44,40,16,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24629,https://morningconsult.com/2016/06/07/poll-ryan-endorsement-doesnt-help-trump-independents/,Nonpartisan,None
YouGov/Economist,6/2/2016,6/5/2016,2016-06-07T16:29:14Z,632,Registered Voters - Democrat,Internet,84,9,5,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24633,https://today.yougov.com/news/2016/06/06/sanders-supporters-expect-win-california-not-phila/,Nonpartisan,None
YouGov/Economist,6/2/2016,6/5/2016,2016-06-07T16:29:14Z,470,Registered Voters - Republican,Internet,6,80,9,5,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24633,https://today.yougov.com/news/2016/06/06/sanders-supporters-expect-win-california-not-phila/,Nonpartisan,None
YouGov/Economist,6/2/2016,6/5/2016,2016-06-07T16:29:14Z,534,Registered Voters - independent,Internet,38,37,13,12,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24633,https://today.yougov.com/news/2016/06/06/sanders-supporters-expect-win-california-not-phila/,Nonpartisan,None
Ipsos/Reuters,5/28/2016,6/1/2016,2016-06-02T15:20:28Z,1332,Registered Voters,Internet,43,34,10,13,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24596,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical60116.pdf,Nonpartisan,None
Ipsos/Reuters,5/28/2016,6/1/2016,2016-06-02T15:20:28Z,655,Registered Voters - Democrat,Internet,72,9,8,11,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24596,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical60116.pdf,Nonpartisan,None
Ipsos/Reuters,5/28/2016,6/1/2016,2016-06-02T15:20:28Z,,Registered Voters - Republican,Internet,9,73,6,11,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24596,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical60116.pdf,Nonpartisan,None
Ipsos/Reuters,5/28/2016,6/1/2016,2016-06-02T15:20:28Z,,Registered Voters - independent,Internet,19,34,25,22,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24596,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical60116.pdf,Nonpartisan,None
Rasmussen,5/31/2016,6/1/2016,2016-06-02T15:41:38Z,1000,Likely Voters,Automated Phone,39,38,5,18,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24597,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,Nonpartisan,None
Quinnipiac,5/24/2016,5/30/2016,2016-06-01T12:56:33Z,1561,Registered Voters,Live Phone,45,41,11,3,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24586,https://www.qu.edu/images/polling/us/us06012016_Ugb28vf.pdf,Nonpartisan,None
Morning Consult,5/24/2016,5/30/2016,2016-06-01T15:20:58Z,4002,Registered Voters,Internet,42,39,18,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24589,https://morningconsult.com/2016/06/01/poll-democrats-want-sanders-stay-race/,Nonpartisan,None
